Symbol,Date,Open,High,Low,Close,Volume
AAPL,02-Jan-2017,115.82,115.82,115.82,115.82,0
AAPL,03-Jan-2017,115.8,116.33,114.76,116.15,28781800
AAPL,04-Jan-2017,115.85,116.51,115.75,116.02,21118100
AAPL,05-Jan-2017,115.92,116.86,115.81,116.61,22193500
AAPL,06-Jan-2017,116.78,118.16,116.47,117.91,31751900
AAPL,09-Jan-2017,117.95,119.43,117.94,118.99,33561900
AAPL,10-Jan-2017,118.77,119.38,118.3,119.11,24462000
AAPL,11-Jan-2017,118.74,119.93,118.6,119.75,27577900
AAPL,12-Jan-2017,118.89,119.3,118.21,119.25,27084300
AAPL,13-Jan-2017,119.11,119.62,118.81,119.04,26103900
AAPL,16-Jan-2017,119.04,119.04,119.04,119.04,0
AAPL,17-Jan-2017,118.34,120.24,118.22,120,34439800
AAPL,18-Jan-2017,120,120.5,119.71,119.99,23712900
AAPL,19-Jan-2017,119.4,120.09,119.37,119.78,25597200
AAPL,20-Jan-2017,120.45,120.45,119.73,120,30501100
AAPL,23-Jan-2017,120,120.81,119.77,120.08,22046000
AAPL,24-Jan-2017,119.55,120.1,119.5,119.97,23209900
AAPL,25-Jan-2017,120.42,122.1,120.28,121.88,32574200
AAPL,26-Jan-2017,121.67,122.44,121.6,121.94,26336800
AAPL,27-Jan-2017,122.14,122.35,121.6,121.95,20553800
AAPL,30-Jan-2017,120.93,121.63,120.66,121.63,30366000
AAPL,31-Jan-2017,121.15,121.39,120.62,121.35,49200900
AAPL,01-Feb-2017,127.03,130.49,127.01,128.75,111985000
AAPL,02-Feb-2017,127.97,129.39,127.78,128.53,33710400
AAPL,03-Feb-2017,128.31,129.19,128.16,129.08,24500300
AAPL,06-Feb-2017,129.13,130.5,128.9,130.29,26845900
AAPL,07-Feb-2017,130.54,132.09,130.45,131.53,38183800
AAPL,08-Feb-2017,131.35,132.22,131.22,132.04,23004000
AAPL,09-Feb-2017,131.65,132.45,131.12,132.42,28349800
AAPL,10-Feb-2017,132.46,132.94,132.05,132.12,20065400
AAPL,13-Feb-2017,133.08,133.82,132.75,133.29,23035400
AAPL,14-Feb-2017,133.47,135.09,133.25,135.02,33226200
AAPL,15-Feb-2017,135.52,136.27,134.62,135.51,35623100
AAPL,16-Feb-2017,135.67,135.9,134.84,135.35,22584500
AAPL,17-Feb-2017,135.1,135.83,135.1,135.72,22198100
AAPL,20-Feb-2017,135.72,135.72,135.72,135.72,0
AAPL,21-Feb-2017,136.23,136.75,135.98,136.7,24507100
AAPL,22-Feb-2017,136.43,137.12,136.11,137.11,20836900
AAPL,23-Feb-2017,137.38,137.48,136.3,136.53,20788100
AAPL,24-Feb-2017,135.91,136.66,135.28,136.66,21776500
AAPL,27-Feb-2017,137.14,137.43,136.28,136.93,20257400
AAPL,28-Feb-2017,137.08,137.43,136.7,136.99,23482800
AAPL,01-Mar-2017,137.89,140.15,137.6,139.79,36414500
AAPL,02-Mar-2017,140,140.28,138.76,138.96,26210900
AAPL,03-Mar-2017,138.78,139.83,138.59,139.78,21571100
AAPL,06-Mar-2017,139.37,139.77,138.6,139.34,21750000
AAPL,07-Mar-2017,139.06,139.98,138.79,139.52,17446200
AAPL,08-Mar-2017,138.95,139.8,138.82,139,18707200
AAPL,09-Mar-2017,138.74,138.79,137.05,138.68,22155900
AAPL,10-Mar-2017,139.25,139.36,138.64,139.14,19612800
AAPL,13-Mar-2017,138.85,139.43,138.82,139.2,17421700
AAPL,14-Mar-2017,139.3,139.65,138.84,138.99,15309000
AAPL,15-Mar-2017,139.41,140.75,139.02,140.46,25691700
AAPL,16-Mar-2017,140.72,141.02,140.26,140.69,19231900
AAPL,17-Mar-2017,141,141,139.89,139.99,43884900
AAPL,20-Mar-2017,140.4,141.5,140.23,141.46,21542000
AAPL,21-Mar-2017,142.11,142.8,139.73,139.84,39529900
AAPL,22-Mar-2017,139.85,141.6,139.76,141.42,25860100
AAPL,23-Mar-2017,141.26,141.58,140.61,140.92,20346300
AAPL,24-Mar-2017,141.5,141.74,140.35,140.64,22395500
AAPL,27-Mar-2017,139.39,141.22,138.62,140.88,23575000
AAPL,28-Mar-2017,140.91,144.04,140.62,143.8,33374800
AAPL,29-Mar-2017,143.68,144.49,143.19,144.12,29189900
AAPL,30-Mar-2017,144.19,144.5,143.5,143.93,21207200
AAPL,31-Mar-2017,143.72,144.27,143.01,143.66,19661600
AAPL,03-Apr-2017,143.71,144.12,143.05,143.7,19985700
AAPL,04-Apr-2017,143.25,144.89,143.17,144.77,19891300
